country,year,total_energy_twh,per_capita_energy_kwh,renewable_share_pct,fossil_dependency_pct,industrial_energy_pct,household_energy_pct,carbon_emissions_mt,energy_price,renewable_ratio,fossil_ratio,other_sector_pct,pollution_score,green_dominance
Brazil,2016,387.48,47299.8,39.04,56.49,49.74,16.29,2127.36,0.26,0.39,0.56,33.97,5.4902,0.70
China,2023,500.96,49878.61,39.42,47.95,42.93,16.13,4325.6,0.44,0.39,0.48,40.94,8.6346,0.81
Germany,2024,6165.42,48825.37,70.57,62.24,55.56,24.43,1124.28,0.24,0.71,0.62,20.01,0.1824,1.15
Canada,2022,8080.51,20801.83,17.02,12.51,23.76,18.42,955.47,0.48,0.17,0.13,57.82,0.1182,1.31
Russia,2023,4434.22,12891.26,18.41,77.03,35.78,16.58,3618.71,0.33,0.18,0.77,47.64,0.8161,0.23
India,2019,5590.35,38041.3,58.26,25.55,52.42,25.43,4880.18,0.39,0.58,0.26,22.15,0.8730,2.23
USA,2015,8018.31,15314.01,53.6,18.51,35.44,18.73,2264.28,0.28,0.54,0.19,45.83,0.2824,2.84
Germany,2019,6144.01,40416.82,18.09,75.88,57.07,12.41,1783.18,0.24,0.18,0.76,30.52,0.2902,0.24
China,2012,2325.13,26930.76,77.44,68.13,26.1,30.48,1307.01,0.09,0.77,0.68,43.42,0.5621,1.13
Russia,2001,6169.22,39799.4,32.97,63.54,33.47,27.57,296.22,0.1,0.33,0.64,38.96,0.0480,0.52
Germany,2023,6319.97,14156.05,36.19,17.33,37.03,16.36,933.15,0.31,0.36,0.17,46.61,0.1477,2.12
China,2001,7367.66,25647.35,40.74,66.53,47.48,27.47,512.4,0.33,0.41,0.67,25.05,0.0695,0.61
Australia,2024,6246.65,28419.18,32.43,52.63,27.81,38.67,2495.8,0.49,0.32,0.53,33.52,0.3995,0.60
Australia,2013,9695.5,47183.85,52.38,61.23,20.39,38.69,4892.08,0.44,0.52,0.61,40.92,0.5046,0.85
UK,2003,2053.15,13696.58,38.04,78.46,59.06,25.96,3947.64,0.43,0.38,0.78,14.98,1.9227,0.49
Germany,2016,9515.8,46866.07,27.05,23.61,55.95,12.94,3028.37,0.18,0.27,0.24,31.11,0.3182,1.13
Australia,2012,5429.56,40340.52,81.88,45.31,32.01,23.75,2458.86,0.24,0.82,0.45,44.24,0.4529,1.82
China,2003,6752.37,36679.26,31.21,62.73,39.34,10.81,3105.05,0.1,0.31,0.63,49.85,0.4598,0.49
UK,2002,1084.67,39450.08,64.37,40.36,39.56,22.46,1911.33,0.31,0.64,0.40,37.98,1.7621,1.60
China,2011,3867.7,30468.54,34.51,13.83,54.77,37.28,933.01,0.08,0.35,0.14,7.95,0.2412,2.50
UK,2021,7716.85,12581.96,41.99,17.8,43.88,24.02,2969.38,0.25,0.42,0.18,32.10,0.3848,2.33
Germany,2022,7098.42,9880,25.06,52.15,53.06,26.51,2664.11,0.3,0.25,0.52,20.43,0.3753,0.48
Russia,2007,497.38,43383.9,68.95,29.95,56.48,14.74,4725.46,0.15,0.69,0.30,28.78,9.5007,2.30
Canada,2001,5511.28,36394.4,67.66,19.65,42.64,10.47,3266.67,0.4,0.68,0.20,46.89,0.5927,3.40
Japan,2005,973.95,11053.61,6.89,33.79,31.42,39.8,3878.48,0.35,0.07,0.34,28.78,3.9822,0.21
Russia,2021,9958.98,30947.12,10.12,24.07,39.95,20.15,508.87,0.12,0.10,0.24,39.90,0.0511,0.42
Brazil,2009,8983.24,22653.55,83.4,11.68,54.03,18.38,3816.64,0.49,0.83,0.12,27.59,0.4249,6.92
China,2011,308.7,8353.43,80.55,20.63,43.34,27.14,4915.1,0.29,0.81,0.21,29.52,15.9219,3.86
Brazil,2020,8600.63,26826.93,48.02,71.82,55.83,32.36,3304.6,0.06,0.48,0.72,11.81,0.3842,0.67
Russia,2009,9202.35,14435.2,46.94,10.84,55.82,17.54,3723.31,0.21,0.47,0.11,26.64,0.4046,4.27
UK,2009,3600.13,5264.08,74.06,64.17,34.93,25.72,4898.63,0.49,0.74,0.64,39.35,1.3607,1.16
Japan,2022,7223.07,23614.44,16.77,62.74,37.92,19.98,1986.81,0.46,0.17,0.63,42.10,0.2751,0.27
Japan,2002,4476.83,29710.37,60.56,49.5,47.12,24.43,4129.68,0.12,0.61,0.50,28.45,0.9225,1.22
USA,2019,6586.8,2821.87,45.46,24.59,24.44,14.84,2028.48,0.43,0.45,0.25,60.72,0.3080,1.80
Japan,2009,3469.14,20403.59,68.18,71.46,38.62,25.3,2158.3,0.33,0.68,0.71,36.08,0.6221,0.96
Canada,2008,3293.34,13254.27,7.56,43.26,25.98,11.42,3308.3,0.06,0.08,0.43,62.60,1.0045,0.19
Japan,2019,4301.9,2017.2,55.38,22.12,53.92,35.2,1319.27,0.39,0.55,0.22,10.88,0.3067,2.50
Russia,2018,1541.12,6720.3,52.32,40.03,57.71,28.83,4964.27,0.24,0.52,0.40,13.46,3.2212,1.30
USA,2013,8328.28,7382.19,76.47,23.64,25.66,38.24,1679.7,0.23,0.76,0.24,36.10,0.2017,3.17
Russia,2001,3552.11,9552.28,62.53,36.32,46.69,27.99,658.11,0.22,0.63,0.36,25.32,0.1853,1.75
Russia,2004,4061.48,40267.19,79.81,44.77,45.46,15.46,1646.64,0.32,0.80,0.45,39.08,0.4054,1.78
India,2019,8951.14,22254.85,80.42,35.19,50.4,24.52,4287.03,0.37,0.80,0.35,25.08,0.4789,2.29
USA,2007,5016.58,7780.76,39.69,55.99,47.83,29.94,1603.94,0.34,0.40,0.56,22.23,0.3197,0.71
Russia,2006,5488.11,5464.7,16.68,75.51,28.69,21.23,3076.21,0.16,0.17,0.76,50.08,0.5605,0.22
India,2005,9569.33,15248.05,58.57,34.37,31.65,26.58,4679.84,0.37,0.59,0.34,41.77,0.4890,1.74
India,2010,8878.59,40001.77,79.27,34.9,26.61,14.88,1336.83,0.11,0.79,0.35,58.51,0.1506,2.26
USA,2011,1777.72,18540.76,11.37,61.68,56.85,33.31,700.26,0.49,0.11,0.62,9.84,0.3939,0.18
Brazil,2017,4784.83,8414.92,52.42,47.14,40.87,37.29,529.4,0.26,0.52,0.47,21.84,0.1106,1.11
UK,2018,9715.83,20503.75,14.77,40.02,59.05,19.45,2229.82,0.09,0.15,0.40,21.50,0.2295,0.38
Canada,2009,3786.43,27987.92,7.29,66.97,37.97,33.8,566.22,0.31,0.07,0.67,28.23,0.1495,0.10
UK,2024,3778.57,1964.42,62.77,72.37,42.11,12.76,2296.35,0.31,0.63,0.72,45.13,0.6077,0.88
Japan,2024,2030.8,31568.27,62.96,51.34,51.57,17.4,4320.45,0.07,0.63,0.51,31.03,2.1275,1.24
Canada,2020,1231.8,20057.49,56.06,22.96,51.89,23.86,3898.54,0.05,0.56,0.23,24.25,3.1649,2.43
Japan,2013,7429.02,981.43,78.03,42.64,29.25,21.59,2929.42,0.5,0.78,0.43,49.16,0.3943,1.81
Russia,2002,7723.3,33857.53,11.87,45.31,31.53,28.59,4259.59,0.23,0.12,0.45,39.88,0.5515,0.27
China,2017,9693.23,35763.19,13.95,40.25,23.91,26.89,546.34,0.16,0.14,0.40,49.20,0.0564,0.35
USA,2023,7756.84,31627.57,78.49,28.37,52.22,12.62,3066.62,0.3,0.78,0.28,35.16,0.3953,2.79
Canada,2014,2509.19,17425.55,47.78,43.06,51.75,13.95,622.42,0.05,0.48,0.43,34.30,0.2481,1.12
Canada,2005,497.15,26715.44,28.21,41.26,23.25,11.55,2436.59,0.06,0.28,0.41,65.20,4.9011,0.68
Russia,2009,9855.83,19664.31,67.74,24.66,30.3,38.58,2344.14,0.1,0.68,0.25,31.12,0.2378,2.72
Brazil,2011,3470.46,35180.78,81.02,73.24,37.99,29.36,1362.52,0.41,0.81,0.73,32.65,0.3926,1.11
India,2006,3188.52,29387.22,63.62,71.97,41.67,35.67,4157.78,0.16,0.64,0.72,22.66,1.3040,0.89
Russia,2016,9068.96,4549.06,72.31,63.17,40.9,26.24,1179.73,0.28,0.72,0.63,32.86,0.1301,1.14
Australia,2000,5892.49,32333.13,29.01,38.07,59.32,15.82,2781.88,0.15,0.29,0.38,24.86,0.4721,0.76
India,2017,2227.22,34518.3,29.55,35.92,50.57,28.8,2437.19,0.3,0.30,0.36,20.63,1.0943,0.83
USA,2014,8902.05,18849.76,78.45,60.15,24.53,25.16,2186.68,0.28,0.78,0.60,50.31,0.2456,1.30
India,2018,9934.27,43851.4,57.26,52.57,31.74,22.25,216.03,0.23,0.57,0.53,46.01,0.0217,1.08
Brazil,2000,958.12,42229.21,24.9,52.04,33.82,21.15,3498.83,0.24,0.25,0.52,45.03,3.6518,0.48
India,2004,8636.29,9170.74,49.55,18.69,32.61,29.5,112.79,0.34,0.50,0.19,37.89,0.0131,2.63
USA,2014,3966.11,45261.18,63.3,53.28,51.44,28.53,4111.71,0.43,0.63,0.53,20.03,1.0367,1.19
Brazil,2002,5288.32,22323.18,23.58,73.13,34.42,14.55,1368.65,0.19,0.24,0.73,51.03,0.2588,0.33
UK,2000,9156.68,36325.61,60.67,16.01,39.7,34.49,644.03,0.29,0.61,0.16,25.81,0.0703,3.81
Canada,2007,9736.45,40797.8,8.58,33.74,41.34,29.08,2114.35,0.43,0.09,0.34,29.58,0.2172,0.26
Canada,2011,2695.42,25503.06,30.81,45.63,30.82,26.07,2818.83,0.13,0.31,0.46,43.11,1.0458,0.67
Japan,2021,2207.22,20255.55,62.29,58.02,32.91,32.47,1586.3,0.49,0.62,0.58,34.62,0.7187,1.07
UK,2024,897.11,45814.84,17.69,16.27,51.2,14.61,652.83,0.39,0.18,0.16,34.19,0.7277,1.13
UK,2018,5661.8,11927.25,23.89,71.1,54.67,37.59,140.72,0.21,0.24,0.71,7.74,0.0249,0.34
India,2024,234.68,13220.02,79.72,12.84,21.48,18.12,3533.88,0.22,0.80,0.13,60.40,15.0583,6.15
Canada,2024,4177.79,18400.21,62.32,70.04,44.21,17.88,4437.86,0.14,0.62,0.70,37.91,1.0623,0.89
USA,2011,826.5,43043.56,47.41,11.94,45.34,34.45,547.58,0.17,0.47,0.12,20.21,0.6625,3.92
Germany,2012,4111.74,46970.02,22.93,20.75,49.49,20.02,1191.64,0.31,0.23,0.21,30.49,0.2898,1.10
Germany,2000,495.33,11393.35,34.02,66.02,47.75,34.92,150.13,0.05,0.34,0.66,17.33,0.3031,0.52
Brazil,2018,8368.65,43261.57,53.82,70.21,55.1,19.84,4431.08,0.06,0.54,0.70,25.06,0.5295,0.77
Canada,2005,2176.42,13281.05,18.2,78.76,23.14,26.52,2251.46,0.49,0.18,0.79,50.34,1.0345,0.23
Canada,2007,3350.26,48546.74,45.95,18.1,35.53,16.93,4629.72,0.16,0.46,0.18,47.54,1.3819,2.56
Germany,2003,8713.48,30071.69,39.76,46.85,51.28,31.95,2367.09,0.42,0.40,0.47,16.77,0.2717,0.85
Canada,2004,7488.03,850.78,45.52,15.4,53.86,15.01,4317.81,0.33,0.46,0.15,31.13,0.5766,3.07
India,2024,2268.48,2189.43,13.97,20.95,30.59,36.98,4761.19,0.25,0.14,0.21,32.43,2.0988,0.67
Australia,2021,811.8,7800.48,14.05,22.21,43.41,21.15,1709,0.38,0.14,0.22,35.44,2.1052,0.64
China,2006,7185.17,9784.87,86.95,14.44,27.23,24.15,3221.52,0.07,0.87,0.14,48.62,0.4484,6.21
UK,2022,3967.96,38497.15,88.25,72.51,54.04,10.72,3348.78,0.39,0.88,0.73,35.24,0.8440,1.21
Japan,2003,7684.19,11526.91,41.22,18.84,49.22,39.27,155.97,0.44,0.41,0.19,11.51,0.0203,2.16
Brazil,2019,4508.42,48472.51,72.06,54.05,28.88,34.4,2219.23,0.18,0.72,0.54,36.72,0.4922,1.33
Australia,2003,3525.42,31987.55,60.74,53.8,44.95,23.41,4283.87,0.19,0.61,0.54,31.64,1.2151,1.13
Germany,2014,4566.93,34779.62,14.94,23.91,40.37,37.61,4734.11,0.1,0.15,0.24,22.02,1.0366,0.63
UK,2020,7510.73,11281.92,30.22,79.89,30.35,37.93,4501.14,0.44,0.30,0.80,31.72,0.5993,0.38
Canada,2004,9031.98,44688.96,31.66,34.32,55.72,25.99,4865.84,0.41,0.32,0.34,18.29,0.5387,0.94
Japan,2023,592.7,33556.82,55.64,73.36,25.91,17.02,3282.56,0.24,0.56,0.73,57.07,5.5383,0.77
Canada,2008,5288.7,43288.08,54.3,76.38,38.7,24.61,1202.36,0.22,0.54,0.76,36.69,0.2273,0.71
USA,2001,425.07,47845.81,83.5,76.43,43.31,19.74,2898.14,0.24,0.84,0.76,36.95,6.8180,1.11
USA,2006,4737.25,6719.23,72.15,62.7,52.94,23.44,2134.66,0.24,0.72,0.63,23.62,0.4506,1.14
Japan,2016,8864.3,5281.07,77.83,27.77,26.01,37.34,1330.33,0.24,0.78,0.28,36.65,0.1501,2.79
Japan,2015,3679.74,40268.69,80.75,18.45,44.37,18.46,3875.29,0.12,0.81,0.18,37.17,1.0531,4.50
Germany,2016,9331.26,43373.24,73.11,49.89,20.26,35.17,3164.53,0.06,0.73,0.50,44.57,0.3391,1.46
Japan,2019,6343.02,29396.19,33.29,35.2,52.9,38.06,3961.02,0.39,0.33,0.35,9.04,0.6245,0.94
India,2022,9348.14,18617.03,23.28,68.17,29.39,34.15,1383.98,0.2,0.23,0.68,36.46,0.1480,0.34
Canada,2001,7595.95,32805.17,53.6,62.15,48.84,25.82,4524.23,0.27,0.54,0.62,25.34,0.5956,0.87
Australia,2010,1124.01,15630.37,63.61,29.35,44.08,26.92,1231.63,0.19,0.64,0.29,29.00,1.0957,2.21
Russia,2001,2388.4,12300.09,37.86,11.19,22.01,34.59,3029.52,0.22,0.38,0.11,43.40,1.2684,3.45
Japan,2000,4002.29,24663.19,77.11,26.61,27.33,11.34,331.63,0.08,0.77,0.27,61.33,0.0829,2.85
Brazil,2001,1784.06,11199.61,86.65,49.7,30.71,32.08,2727.77,0.22,0.87,0.50,37.21,1.5290,1.74
USA,2022,4999.62,24443.33,53.4,15.53,55.47,25.87,538.68,0.26,0.53,0.16,18.66,0.1077,3.31
India,2008,4766.54,47852.02,43.81,56.08,39.23,21.91,1694.46,0.42,0.44,0.56,38.86,0.3555,0.79
UK,2021,9566.97,42069.31,76.65,57.02,56.54,33.01,4310.41,0.19,0.77,0.57,10.45,0.4506,1.35
Russia,2001,4393.91,47110.73,7.06,21.86,21.9,17.99,4472.96,0.09,0.07,0.22,60.11,1.0180,0.32
Australia,2014,7877.71,40413.28,15.97,51.74,20.26,36.87,3848.13,0.39,0.16,0.52,42.87,0.4885,0.31
Russia,2009,9424.91,18060.17,76.88,52.49,57.93,30.65,1870.13,0.22,0.77,0.52,11.42,0.1984,1.48
Japan,2014,8782.19,40696.24,67.22,43.46,48.96,28.3,2914.68,0.46,0.67,0.43,22.74,0.3319,1.56
Germany,2009,2165.81,46184.33,40.37,76.73,51.33,25.69,1158.7,0.48,0.40,0.77,22.98,0.5350,0.52
USA,2024,5010.7,47378.27,80.55,17.57,56.63,16.38,3407.83,0.44,0.81,0.18,26.99,0.6801,4.50
USA,2022,3542.62,34318.29,34.87,38.46,59.38,28.51,1769.64,0.15,0.35,0.38,12.11,0.4995,0.92
UK,2016,4058.6,10962.65,58.88,71.8,23.91,31.75,1143.94,0.16,0.59,0.72,44.34,0.2819,0.82
Germany,2008,3671.99,2466.59,58.92,37.04,26.33,10.35,2945.6,0.41,0.59,0.37,63.32,0.8022,1.59
Canada,2017,8280.96,7786.41,20.67,39.72,27.54,20.99,603.42,0.25,0.21,0.40,51.47,0.0729,0.53
China,2003,4576.18,48294.57,29.21,56.78,52.74,34.97,3449.16,0.18,0.29,0.57,12.29,0.7537,0.51
India,2008,5284.57,23373.79,82.86,56.59,34.22,28.97,975.68,0.18,0.83,0.57,36.81,0.1846,1.46
USA,2015,9826.23,42821.81,20.59,11.6,43.73,28.46,2789.6,0.31,0.21,0.12,27.81,0.2839,1.75
Brazil,2003,693.79,23519.69,19.75,41.9,54.21,16.86,1992.92,0.45,0.20,0.42,28.93,2.8725,0.48
USA,2015,4930.78,33210.47,45.77,33.35,47.33,28.96,2852.91,0.33,0.46,0.33,23.71,0.5786,1.39
Russia,2018,7763.21,1694.97,12.84,53.94,22.62,33.58,1267.51,0.33,0.13,0.54,43.80,0.1633,0.24
USA,2000,1596.5,12868.31,81.04,48.9,37.83,22.05,1586.43,0.39,0.81,0.49,40.12,0.9937,1.65
USA,2022,6154.16,22095.33,13.51,55.56,22.7,15.46,744.59,0.39,0.14,0.56,61.84,0.1210,0.25
China,2005,2470.7,31716.24,57.41,55.76,39.15,12.32,3895.98,0.46,0.57,0.56,48.53,1.5769,1.02
China,2009,8687.3,8990.3,33.88,27.84,28.77,25.17,397.05,0.12,0.34,0.28,46.06,0.0457,1.21
Australia,2015,3338.29,38345.3,73.36,27.25,20.05,30.52,1913.35,0.49,0.73,0.27,49.43,0.5732,2.70
Canada,2003,3357.72,18538.03,55.13,35.92,52.53,14.88,2273.03,0.2,0.55,0.36,32.59,0.6770,1.53
Brazil,2021,6022.12,40963.05,38.01,26.94,58.78,22.64,1016.27,0.18,0.38,0.27,18.58,0.1688,1.41
USA,2021,1917.27,5349.47,88.63,57.8,58.57,27.06,1954.87,0.28,0.89,0.58,14.37,1.0196,1.53
USA,2012,2920.4,34147.95,10.63,52.2,31.97,14.68,2119.54,0.17,0.11,0.52,53.35,0.7258,0.21
India,2015,4224.66,15019.75,54.11,25.15,53.15,18.1,1160.44,0.15,0.54,0.25,28.75,0.2747,2.16
China,2019,3601.01,39871.47,89.11,71.89,47.15,28.25,3214.32,0.49,0.89,0.72,24.60,0.8926,1.24
Brazil,2005,5296.28,20407.44,63.73,42.25,52,31.75,202.73,0.1,0.64,0.42,16.25,0.0383,1.52
UK,2010,6036.44,33434.81,67.88,18.89,53.85,29.08,1027.95,0.5,0.68,0.19,17.07,0.1703,3.58
Australia,2023,5710.01,46748.11,7.73,24.91,59.21,31.41,3139.17,0.33,0.08,0.25,9.38,0.5498,0.32
Canada,2002,6576.27,1521.02,6.82,47.79,26.07,27.45,3156.26,0.48,0.07,0.48,46.48,0.4799,0.15
Germany,2019,3146.72,1050.28,8.07,33.69,50.79,35.07,1363.05,0.45,0.08,0.34,14.14,0.4332,0.24
Canada,2009,1351.62,38628.82,89.3,69.59,49.37,34.8,3431.09,0.34,0.89,0.70,15.83,2.5385,1.27
Russia,2000,7631.99,32496.46,88.26,44.63,31.51,33.89,2375.45,0.32,0.88,0.45,34.60,0.3112,1.96
USA,2019,8522.73,15002.5,33.43,74.07,35.7,27.26,2659.87,0.5,0.33,0.74,37.04,0.3121,0.45
Australia,2010,2644.36,24972.64,29.73,17.13,27.07,39.82,1696.42,0.28,0.30,0.17,33.11,0.6415,1.76
Russia,2011,4130.21,2575.82,17.41,56.8,56.53,11.17,4922.15,0.13,0.17,0.57,32.30,1.1917,0.30
Brazil,2013,5035.84,10026.06,32.98,72,55.17,15.87,3700.07,0.5,0.33,0.72,28.96,0.7347,0.46
Germany,2024,5379.94,21512.57,36.46,30.51,44.56,34.27,1279.73,0.2,0.36,0.31,21.17,0.2379,1.16
China,2007,6628.95,41785.2,68.6,19.5,40.47,34.79,1220.99,0.09,0.69,0.20,24.74,0.1842,3.45
Australia,2010,511.87,24243.53,78.63,41.97,29.32,34.56,3882.16,0.37,0.79,0.42,36.12,7.5843,1.88
Australia,2003,7242.62,29524.94,68.47,77.29,51.58,36.18,1970.65,0.25,0.68,0.77,12.24,0.2721,0.88
USA,2006,713.51,43750.81,59.95,54.34,20.33,22.68,502.98,0.22,0.60,0.54,56.99,0.7049,1.11
Japan,2009,4736.06,15786.54,70.1,55.08,38.51,37.96,226.22,0.33,0.70,0.55,23.53,0.0478,1.27
Australia,2018,8293.94,35184.62,67.77,57.01,54.42,16.28,2099.08,0.07,0.68,0.57,29.30,0.2531,1.19
India,2024,4567.03,43152.53,45.44,12.78,44.74,38.11,2102.8,0.36,0.45,0.13,17.15,0.4604,3.46
Germany,2003,1575.99,10529.48,33.55,41.2,45.4,26.7,3548.94,0.28,0.34,0.41,27.90,2.2519,0.83
Germany,2001,9851.84,18145.67,29.04,15.43,22.83,14.92,2895.12,0.27,0.29,0.15,62.25,0.2939,1.93
India,2020,8903.93,49000.6,62.75,32.11,31.47,32.08,3862.09,0.46,0.63,0.32,36.45,0.4338,1.97
UK,2017,7736,49169.32,86.54,67.51,46.95,18.88,1622.87,0.42,0.87,0.68,34.17,0.2098,1.28
India,2013,4173.96,11549.88,54.39,55.94,21.98,16.61,3140.04,0.29,0.54,0.56,61.41,0.7523,0.96
India,2015,1920.07,3789.07,82.56,79.69,33.24,15.16,4434.23,0.31,0.83,0.80,51.60,2.3094,1.04
Germany,2021,9419.97,13910.62,6.21,22.05,34.16,10.88,392.97,0.41,0.06,0.22,54.96,0.0417,0.27
Canada,2010,5370.28,20187.73,72.53,37.79,39.95,32.94,3556.83,0.24,0.73,0.38,27.11,0.6623,1.92
Germany,2009,8538.32,22329.78,77.56,66.67,34.5,24.6,3593.62,0.35,0.78,0.67,40.90,0.4209,1.16
Japan,2016,3486.74,31130.91,58.63,25.1,38.16,39.36,3980.45,0.29,0.59,0.25,22.48,1.1416,2.36
USA,2013,3419.35,45025.39,84.4,20.76,41.88,23.18,1381.78,0.27,0.84,0.21,34.94,0.4041,4.00
Russia,2021,9856.85,16852.23,55.14,39.93,25.13,35.3,2111.78,0.49,0.55,0.40,39.57,0.2142,1.38
Canada,2003,5266.15,42574.23,25.45,36.86,27.22,39.04,1236.56,0.06,0.25,0.37,33.74,0.2348,0.68
China,2018,1492.88,5127.21,23.34,78.61,53.3,10.67,1577.48,0.24,0.23,0.79,36.03,1.0567,0.29
Russia,2001,2274.78,2572.8,52.25,41.94,38.39,13.16,4844.12,0.47,0.52,0.42,48.45,2.1295,1.24
USA,2006,4871.25,25450.24,82.05,70.27,34.21,20.44,2255.99,0.47,0.82,0.70,45.35,0.4631,1.17
